timestamp,sleepStage
 608343840,W
 608343870,W
 608343900,W
 608343930,W
 608343960,W
 608343990,W
 608344020,W
 608344050,W
 608344080,W
 608344110,W
 608344140,W
 608344170,N1
 608344200,N1
 608344230,N1
 608344260,N1
 608344290,N1
 608344320,N1
 608344350,N1
 608344380,N1
 608344410,N1
 608344440,N2
 608344470,N2
 608344500,N2
 608344530,N2
 608344560,N2
 608344590,N1
 608344620,N2
 608344650,N2
 608344680,N2
 608344710,N2
 608344740,N2
 608344770,N2
 608344800,N2
 608344830,N2
 608344860,N2
 608344890,N2
 608344920,N2
 608344950,N2
 608344980,N2
 608345010,N2
 608345040,N2
 608345070,N2
 608345100,N2
 608345130,N2
 608345160,N2
 608345190,N2
 608345220,N2
 608345250,N2
 608345280,N2
 608345310,N2
 608345340,N2
 608345370,N2
 608345400,N2
 608345430,N3
 608345460,N3
 608345490,N3
 608345520,N3
 608345550,N3
 608345580,N3
 608345610,N3
 608345640,N3
 608345670,N3
 608345700,N3
 608345730,N3
 608345760,N3
 608345790,N3
 608345820,N3
 608345850,N3
 608345880,N3
 608345910,N3
 608345940,N3
 608345970,N3
 608346000,N3
 608346030,N3
 608346060,N3
 608346090,N3
 608346120,N3
 608346150,N3
 608346180,N3
 608346210,N3
 608346240,N3
 608346270,N3
 608346300,N3
 608346330,N3
 608346360,N3
 608346390,N3
 608346420,N3
 608346450,N3
 608346480,N3
 608346510,N3
 608346540,N3
 608346570,N3
 608346600,N3
 608346630,N3
 608346660,N3
 608346690,N3
 608346720,N3
 608346750,N3
 608346780,N3
 608346810,N3
 608346840,N3
 608346870,N3
 608346900,N3
 608346930,N3
 608346960,N3
 608346990,N2
 608347020,N2
 608347050,N2
 608347080,N2
 608347110,N2
 608347140,N2
 608347170,N2
 608347200,N2
 608347230,N2
 608347260,N2
 608347290,N2
 608347320,N2
 608347350,N2
 608347380,N2
 608347410,N2
 608347440,N2
 608347470,REM
 608347500,REM
 608347530,REM
 608347560,REM
 608347590,REM
 608347620,REM
 608347650,REM
 608347680,REM
 608347710,REM
 608347740,REM
 608347770,REM
 608347800,REM
 608347830,REM
 608347860,REM
 608347890,REM
 608347920,REM
 608347950,W
 608347980,N1
 608348010,N2
 608348040,REM
 608348070,REM
 608348100,REM
 608348130,REM
 608348160,REM
 608348190,REM
 608348220,REM
 608348250,REM
 608348280,REM
 608348310,REM
 608348340,REM
 608348370,REM
 608348400,REM
 608348430,REM
 608348460,REM
 608348490,REM
 608348520,REM
 608348550,REM
 608348580,REM
 608348610,REM
 608348640,REM
 608348670,REM
 608348700,N2
 608348730,N2
 608348760,N2
 608348790,N2
 608348820,N2
 608348850,N2
 608348880,N2
 608348910,N2
 608348940,N2
 608348970,N2
 608349000,N2
 608349030,N2
 608349060,N2
 608349090,N2
 608349120,N2
 608349150,N2
 608349180,N2
 608349210,N2
 608349240,N2
 608349270,N2
 608349300,N2
 608349330,N2
 608349360,N2
 608349390,N2
 608349420,N2
 608349450,N2
 608349480,N3
 608349510,N3
 608349540,N2
 608349570,N3
 608349600,N3
 608349630,N3
 608349660,N3
 608349690,N3
 608349720,W
 608349750,W
 608349780,N1
 608349810,N2
 608349840,N2
 608349870,N2
 608349900,N2
 608349930,N2
 608349960,N2
 608349990,N2
 608350020,N2
 608350050,N2
 608350080,N2
 608350110,N3
 608350140,N2
 608350170,N3
 608350200,N3
 608350230,N3
 608350260,N2
 608350290,N2
 608350320,N2
 608350350,N2
 608350380,N2
 608350410,N2
 608350440,N2
 608350470,N2
 608350500,N2
 608350530,N2
 608350560,N2
 608350590,N2
 608350620,N2
 608350650,N3
 608350680,N3
 608350710,N3
 608350740,N3
 608350770,N3
 608350800,N3
 608350830,N3
 608350860,N3
 608350890,N3
 608350920,N3
 608350950,N3
 608350980,N3
 608351010,N3
 608351040,N3
 608351070,N3
 608351100,N3
 608351130,N3
 608351160,N3
 608351190,N2
 608351220,W
 608351250,N2
 608351280,N2
 608351310,N2
 608351340,N2
 608351370,N2
 608351400,N2
 608351430,N2
 608351460,N2
 608351490,N2
 608351520,N2
 608351550,N2
 608351580,N2
 608351610,N2
 608351640,N2
 608351670,N2
 608351700,N2
 608351730,N2
 608351760,N2
 608351790,N2
 608351820,N2
 608351850,N2
 608351880,N2
 608351910,N2
 608351940,N2
 608351970,N2
 608352000,N2
 608352030,N2
 608352060,N2
 608352090,N3
 608352120,N2
 608352150,N2
 608352180,N2
 608352210,N3
 608352240,N2
 608352270,N2
 608352300,N2
 608352330,N2
 608352360,N2
 608352390,N2
 608352420,N2
 608352450,N2
 608352480,N2
 608352510,N2
 608352540,N2
 608352570,N2
 608352600,N2
 608352630,N2
 608352660,N2
 608352690,N2
 608352720,N2
 608352750,N2
 608352780,N2
 608352810,N2
 608352840,N2
 608352870,N2
 608352900,N2
 608352930,N2
 608352960,N2
 608352990,N3
 608353020,N3
 608353050,N2
 608353080,N3
 608353110,N3
 608353140,N2
 608353170,N2
 608353200,N2
 608353230,N2
 608353260,N3
 608353290,N3
 608353320,N3
 608353350,N2
 608353380,N2
 608353410,N2
 608353440,N2
 608353470,N2
 608353500,N2
 608353530,N2
 608353560,N2
 608353590,N2
 608353620,N2
 608353650,N2
 608353680,N2
 608353710,N2
 608353740,N2
 608353770,N2
 608353800,N3
 608353830,N3
 608353860,N3
 608353890,N3
 608353920,N3
 608353950,N2
 608353980,W
 608354010,N1
 608354040,N2
 608354070,N2
 608354100,N2
 608354130,N2
 608354160,N2
 608354190,N2
 608354220,N2
 608354250,N2
 608354280,N2
 608354310,N2
 608354340,REM
 608354370,REM
 608354400,REM
 608354430,REM
 608354460,REM
 608354490,REM
 608354520,REM
 608354550,REM
 608354580,REM
 608354610,REM
 608354640,REM
 608354670,REM
 608354700,REM
 608354730,REM
 608354760,REM
 608354790,REM
 608354820,REM
 608354850,REM
 608354880,REM
 608354910,REM
 608354940,REM
 608354970,REM
 608355000,REM
 608355030,REM
 608355060,REM
 608355090,REM
 608355120,REM
 608355150,REM
 608355180,REM
 608355210,REM
 608355240,REM
 608355270,REM
 608355300,REM
 608355330,REM
 608355360,REM
 608355390,REM
 608355420,REM
 608355450,REM
 608355480,REM
 608355510,REM
 608355540,REM
 608355570,REM
 608355600,REM
 608355630,REM
 608355660,REM
 608355690,REM
 608355720,REM
 608355750,REM
 608355780,REM
 608355810,REM
 608355840,REM
 608355870,REM
 608355900,REM
 608355930,REM
 608355960,REM
 608355990,REM
 608356020,REM
 608356050,REM
 608356080,REM
 608356110,REM
 608356140,REM
 608356170,REM
 608356200,REM
 608356230,REM
 608356260,REM
 608356290,REM
 608356320,REM
 608356350,REM
 608356380,N2
 608356410,N2
 608356440,N2
 608356470,N2
 608356500,N2
 608356530,N2
 608356560,N2
 608356590,N2
 608356620,N2
 608356650,N1
 608356680,N2
 608356710,N2
 608356740,N2
 608356770,N2
 608356800,N2
 608356830,N2
 608356860,N2
 608356890,N2
 608356920,N2
 608356950,N2
 608356980,N2
 608357010,N2
 608357040,N2
 608357070,N2
 608357100,N2
 608357130,N2
 608357160,N2
 608357190,N2
 608357220,N2
 608357250,N2
 608357280,N2
 608357310,N2
 608357340,N2
 608357370,N2
 608357400,N2
 608357430,N2
 608357460,N2
 608357490,N2
 608357520,N2
 608357550,N3
 608357580,N3
 608357610,N3
 608357640,N3
 608357670,N3
 608357700,N3
 608357730,N3
 608357760,N3
 608357790,N3
 608357820,N3
 608357850,N3
 608357880,N3
 608357910,N3
 608357940,N3
 608357970,N3
 608358000,N3
 608358030,N3
 608358060,N3
 608358090,N3
 608358120,N3
 608358150,N3
 608358180,N3
 608358210,N3
 608358240,N3
 608358270,N3
 608358300,N3
 608358330,N3
 608358360,N3
 608358390,N3
 608358420,N3
 608358450,N3
 608358480,N3
 608358510,N3
 608358540,N3
 608358570,N2
 608358600,N2
 608358630,N2
 608358660,N2
 608358690,N2
 608358720,N2
 608358750,N2
 608358780,N2
 608358810,N2
 608358840,N2
 608358870,N2
 608358900,N2
 608358930,N2
 608358960,N2
 608358990,N2
 608359020,N2
 608359050,N2
 608359080,N2
 608359110,N2
 608359140,N2
 608359170,N2
 608359200,N2
 608359230,N2
 608359260,N2
 608359290,N2
 608359320,N2
 608359350,N2
 608359380,N2
 608359410,N2
 608359440,N2
 608359470,N2
 608359500,N2
 608359530,N2
 608359560,N2
 608359590,N1
 608359620,N1
 608359650,N1
 608359680,N2
 608359710,N2
 608359740,N2
 608359770,N2
 608359800,N2
 608359830,N2
 608359860,N2
 608359890,N2
 608359920,N2
 608359950,N2
 608359980,REM
 608360010,REM
 608360040,REM
 608360070,REM
 608360100,REM
 608360130,REM
 608360160,REM
 608360190,REM
 608360220,REM
 608360250,REM
 608360280,REM
 608360310,W
 608360340,N1
 608360370,REM
 608360400,REM
 608360430,REM
 608360460,REM
 608360490,REM
 608360520,REM
 608360550,REM
 608360580,REM
 608360610,REM
 608360640,REM
 608360670,REM
 608360700,REM
 608360730,REM
 608360760,REM
 608360790,W
 608360820,N1
 608360850,N1
 608360880,REM
 608360910,REM
 608360940,REM
 608360970,REM
 608361000,REM
 608361030,REM
 608361060,REM
 608361090,REM
 608361120,REM
 608361150,REM
 608361180,REM
 608361210,REM
 608361240,REM
 608361270,REM
 608361300,REM
 608361330,REM
 608361360,N2
 608361390,N2
 608361420,N2
 608361450,N2
 608361480,N2
 608361510,N2
 608361540,N2
 608361570,N2
 608361600,REM
 608361630,REM
 608361660,REM
 608361690,REM
 608361720,REM
 608361750,REM
 608361780,REM
 608361810,REM
 608361840,REM
 608361870,REM
 608361900,REM
 608361930,REM
 608361960,REM
 608361990,REM
 608362020,REM
 608362050,REM
 608362080,REM
 608362110,REM
 608362140,REM
 608362170,REM
 608362200,N2
 608362230,N2
 608362260,N2
 608362290,N2
 608362320,N2
 608362350,N2
 608362380,N2
 608362410,N2
 608362440,N2
 608362470,N2
 608362500,N2
 608362530,N2
 608362560,N2
 608362590,N2
 608362620,N2
 608362650,N2
 608362680,N2
 608362710,N2
 608362740,N2
 608362770,N2
 608362800,N2
 608362830,N2
 608362860,N2
 608362890,N2
 608362920,N2
 608362950,N2
 608362980,N2
 608363010,N2
 608363040,N2
 608363070,N2
 608363100,N2
 608363130,N2
 608363160,N2
 608363190,N2
 608363220,N2
 608363250,N2
 608363280,N2
 608363310,N2
 608363340,N2
 608363370,N2
 608363400,N2
 608363430,N2
 608363460,N2
 608363490,N2
 608363520,N2
 608363550,N2
 608363580,N3
 608363610,N2
 608363640,N2
 608363670,N2
 608363700,N2
