timestamp,sleepStage
 637454400,W
 637454430,W
 637454460,W
 637454490,W
 637454520,W
 637454550,W
 637454580,W
 637454610,W
 637454640,W
 637454670,W
 637454700,W
 637454730,W
 637454760,W
 637454790,W
 637454820,W
 637454850,W
 637454880,W
 637454910,W
 637454940,W
 637454970,W
 637455000,W
 637455030,W
 637455060,W
 637455090,W
 637455120,W
 637455150,W
 637455180,W
 637455210,W
 637455270,W
 637455240,W
 637455300,W
 637455330,W
 637455360,W
 637455390,W
 637455420,W
 637455450,W
 637455480,W
 637455510,W
 637455540,W
 637455570,W
 637455600,W
 637455630,W
 637455660,W
 637455690,W
 637455720,W
 637455750,W
 637455780,W
 637455810,W
 637455840,W
 637455870,W
 637455900,W
 637455930,W
 637455960,N1
 637455990,N1
 637456020,N1
 637456050,N1
 637456080,N1
 637456110,N1
 637456140,N1
 637456170,N1
 637456200,N2
 637456230,N2
 637456260,N2
 637456290,N2
 637456320,N2
 637456350,N2
 637456380,N2
 637456410,N2
 637456440,N2
 637456470,N2
 637456500,N2
 637456530,N2
 637456560,N3
 637456590,N3
 637456620,N3
 637456650,N2
 637456680,N2
 637456710,N2
 637456740,N2
 637456770,N2
 637456800,N2
 637456830,N2
 637456860,N2
 637456890,N2
 637456920,N2
 637456950,N3
 637456980,N2
 637457010,N2
 637457040,N2
 637457070,N2
 637457100,N2
 637457130,N2
 637457160,N2
 637457190,N2
 637457220,N2
 637457250,N2
 637457280,N2
 637457310,N2
 637457340,N2
 637457370,N2
 637457400,N2
 637457430,N2
 637457460,N2
 637457490,N2
 637457520,N2
 637457550,N2
 637457580,N2
 637457610,N2
 637457640,N2
 637457670,N2
 637457700,N2
 637457730,N2
 637457760,N2
 637457790,N2
 637457820,N2
 637457850,N2
 637457880,N2
 637457910,N2
 637457940,N2
 637457970,N2
 637458000,N2
 637458030,N2
 637458060,N2
 637458090,N2
 637458120,N2
 637458150,N2
 637458180,N2
 637458210,N2
 637458240,N2
 637458270,REM
 637458300,REM
 637458330,REM
 637458360,REM
 637458390,W
 637458420,W
 637458450,N1
 637458480,N1
 637458510,N2
 637458540,N2
 637458570,N2
 637458600,N2
 637458630,N2
 637458660,N2
 637458690,N2
 637458720,N2
 637458750,N2
 637458780,N2
 637458810,N2
 637458840,N2
 637458870,N2
 637458900,N2
 637458930,N2
 637458960,N2
 637458990,N2
 637459020,N2
 637459050,N2
 637459080,N2
 637459110,REM
 637459140,REM
 637459170,REM
 637459200,REM
 637459230,REM
 637459260,REM
 637459290,REM
 637459320,REM
 637459350,REM
 637459380,REM
 637459410,W
 637459440,N1
 637459470,N1
 637459500,N1
 637459530,N1
 637459560,N2
 637459590,N2
 637459620,N2
 637459650,N2
 637459680,N2
 637459710,N2
 637459740,N2
 637459770,N2
 637459800,N2
 637459830,N2
 637459860,N2
 637459890,N2
 637459920,N2
 637459950,N2
 637459980,N2
 637460010,N2
 637460040,N2
 637460070,N2
 637460100,N2
 637460130,N2
 637460160,N2
 637460190,N2
 637460220,N2
 637460250,N2
 637460280,N2
 637460310,N2
 637460340,N3
 637460370,N3
 637460400,N2
 637460430,N2
 637460460,N3
 637460490,N2
 637460520,N2
 637460550,N2
 637460580,N2
 637460610,N2
 637460640,N2
 637460670,N3
 637460700,N2
 637460730,N2
 637460760,N2
 637460790,N2
 637460820,N2
 637460850,N2
 637460880,N2
 637460910,N2
 637460940,N2
 637460970,N2
 637461000,N2
 637461030,N2
 637461060,N2
 637461090,N2
 637461120,N2
 637461150,N2
 637461180,N2
 637461210,N2
 637461240,N2
 637461270,N2
 637461300,N2
 637461330,N2
 637461360,N2
 637461390,N2
 637461420,N2
 637461450,N3
 637461480,N2
 637461510,N3
 637461540,N2
 637461570,N2
 637461600,N2
 637461630,N2
 637461660,N2
 637461690,N2
 637461720,N2
 637461750,N3
 637461780,N3
 637461810,N3
 637461840,N3
 637461870,N3
 637461900,N3
 637461930,N3
 637461960,N3
 637461990,N3
 637462020,N3
 637462050,N3
 637462080,N3
 637462110,N3
 637462140,N3
 637462170,N3
 637462200,N3
 637462230,N3
 637462260,N3
 637462290,N3
 637462320,N3
 637462350,N3
 637462380,N3
 637462410,N3
 637462440,N3
 637462470,N3
 637462500,N3
 637462530,N3
 637462560,N3
 637462590,N3
 637462620,N3
 637462650,N3
 637462680,N3
 637462710,N3
 637462740,N3
 637462770,N3
 637462800,N2
 637462830,N2
 637462860,N2
 637462890,N2
 637462920,N2
 637462950,N3
 637462980,N2
 637463010,N2
 637463040,N2
 637463070,N2
 637463100,N2
 637463130,N2
 637463160,N2
 637463190,N3
 637463220,N3
 637463250,N3
 637463280,N2
 637463310,N2
 637463340,N1
 637463370,N1
 637463400,N1
 637463430,N1
 637463460,N1
 637463490,N1
 637463520,N2
 637463550,N2
 637463580,N2
 637463610,N2
 637463640,N2
 637463670,N2
 637463700,N2
 637463730,N2
 637463760,N2
 637463790,N2
 637463820,N1
 637463850,N1
 637463880,N1
 637463910,N1
 637463940,N1
 637463970,N2
 637464000,N2
 637464030,N2
 637464060,N2
 637464090,REM
 637464120,REM
 637464150,REM
 637464180,REM
 637464210,REM
 637464240,REM
 637464270,REM
 637464300,REM
 637464330,REM
 637464360,REM
 637464390,REM
 637464420,REM
 637464450,REM
 637464480,REM
 637464510,W
 637464540,N1
 637464570,N1
 637464600,N1
 637464630,REM
