timestamp,sleep_stage
 608343840,0
 608343870,0
 608343900,0
 608343930,0
 608343960,0
 608343990,0
 608344020,0
 608344050,0
 608344080,0
 608344110,0
 608344140,0
 608344170,1
 608344200,1
 608344230,1
 608344260,1
 608344290,1
 608344320,1
 608344350,1
 608344380,1
 608344410,1
 608344440,2
 608344470,2
 608344500,2
 608344530,2
 608344560,2
 608344590,1
 608344620,2
 608344650,2
 608344680,2
 608344710,2
 608344740,2
 608344770,2
 608344800,2
 608344830,2
 608344860,2
 608344890,2
 608344920,2
 608344950,2
 608344980,2
 608345010,2
 608345040,2
 608345070,2
 608345100,2
 608345130,2
 608345160,2
 608345190,2
 608345220,2
 608345250,2
 608345280,2
 608345310,2
 608345340,2
 608345370,2
 608345400,2
 608345430,3
 608345460,3
 608345490,3
 608345520,3
 608345550,3
 608345580,3
 608345610,3
 608345640,3
 608345670,3
 608345700,3
 608345730,3
 608345760,3
 608345790,3
 608345820,3
 608345850,3
 608345880,3
 608345910,3
 608345940,3
 608345970,3
 608346000,3
 608346030,3
 608346060,3
 608346090,3
 608346120,3
 608346150,3
 608346180,3
 608346210,3
 608346240,3
 608346270,3
 608346300,3
 608346330,3
 608346360,3
 608346390,3
 608346420,3
 608346450,3
 608346480,3
 608346510,3
 608346540,3
 608346570,3
 608346600,3
 608346630,3
 608346660,3
 608346690,3
 608346720,3
 608346750,3
 608346780,3
 608346810,3
 608346840,3
 608346870,3
 608346900,3
 608346930,3
 608346960,3
 608346990,2
 608347020,2
 608347050,2
 608347080,2
 608347110,2
 608347140,2
 608347170,2
 608347200,2
 608347230,2
 608347260,2
 608347290,2
 608347320,2
 608347350,2
 608347380,2
 608347410,2
 608347440,2
 608347470,4
 608347500,4
 608347530,4
 608347560,4
 608347590,4
 608347620,4
 608347650,4
 608347680,4
 608347710,4
 608347740,4
 608347770,4
 608347800,4
 608347830,4
 608347860,4
 608347890,4
 608347920,4
 608347950,0
 608347980,1
 608348010,2
 608348040,4
 608348070,4
 608348100,4
 608348130,4
 608348160,4
 608348190,4
 608348220,4
 608348250,4
 608348280,4
 608348310,4
 608348340,4
 608348370,4
 608348400,4
 608348430,4
 608348460,4
 608348490,4
 608348520,4
 608348550,4
 608348580,4
 608348610,4
 608348640,4
 608348670,4
 608348700,2
 608348730,2
 608348760,2
 608348790,2
 608348820,2
 608348850,2
 608348880,2
 608348910,2
 608348940,2
 608348970,2
 608349000,2
 608349030,2
 608349060,2
 608349090,2
 608349120,2
 608349150,2
 608349180,2
 608349210,2
 608349240,2
 608349270,2
 608349300,2
 608349330,2
 608349360,2
 608349390,2
 608349420,2
 608349450,2
 608349480,3
 608349510,3
 608349540,2
 608349570,3
 608349600,3
 608349630,3
 608349660,3
 608349690,3
 608349720,0
 608349750,0
 608349780,1
 608349810,2
 608349840,2
 608349870,2
 608349900,2
 608349930,2
 608349960,2
 608349990,2
 608350020,2
 608350050,2
 608350080,2
 608350110,3
 608350140,2
 608350170,3
 608350200,3
 608350230,3
 608350260,2
 608350290,2
 608350320,2
 608350350,2
 608350380,2
 608350410,2
 608350440,2
 608350470,2
 608350500,2
 608350530,2
 608350560,2
 608350590,2
 608350620,2
 608350650,3
 608350680,3
 608350710,3
 608350740,3
 608350770,3
 608350800,3
 608350830,3
 608350860,3
 608350890,3
 608350920,3
 608350950,3
 608350980,3
 608351010,3
 608351040,3
 608351070,3
 608351100,3
 608351130,3
 608351160,3
 608351190,2
 608351220,0
 608351250,2
 608351280,2
 608351310,2
 608351340,2
 608351370,2
 608351400,2
 608351430,2
 608351460,2
 608351490,2
 608351520,2
 608351550,2
 608351580,2
 608351610,2
 608351640,2
 608351670,2
 608351700,2
 608351730,2
 608351760,2
 608351790,2
 608351820,2
 608351850,2
 608351880,2
 608351910,2
 608351940,2
 608351970,2
 608352000,2
 608352030,2
 608352060,2
 608352090,3
 608352120,2
 608352150,2
 608352180,2
 608352210,3
 608352240,2
 608352270,2
 608352300,2
 608352330,2
 608352360,2
 608352390,2
 608352420,2
 608352450,2
 608352480,2
 608352510,2
 608352540,2
 608352570,2
 608352600,2
 608352630,2
 608352660,2
 608352690,2
 608352720,2
 608352750,2
 608352780,2
 608352810,2
 608352840,2
 608352870,2
 608352900,2
 608352930,2
 608352960,2
 608352990,3
 608353020,3
 608353050,2
 608353080,3
 608353110,3
 608353140,2
 608353170,2
 608353200,2
 608353230,2
 608353260,3
 608353290,3
 608353320,3
 608353350,2
 608353380,2
 608353410,2
 608353440,2
 608353470,2
 608353500,2
 608353530,2
 608353560,2
 608353590,2
 608353620,2
 608353650,2
 608353680,2
 608353710,2
 608353740,2
 608353770,2
 608353800,3
 608353830,3
 608353860,3
 608353890,3
 608353920,3
 608353950,2
 608353980,0
 608354010,1
 608354040,2
 608354070,2
 608354100,2
 608354130,2
 608354160,2
 608354190,2
 608354220,2
 608354250,2
 608354280,2
 608354310,2
 608354340,4
 608354370,4
 608354400,4
 608354430,4
 608354460,4
 608354490,4
 608354520,4
 608354550,4
 608354580,4
 608354610,4
 608354640,4
 608354670,4
 608354700,4
 608354730,4
 608354760,4
 608354790,4
 608354820,4
 608354850,4
 608354880,4
 608354910,4
 608354940,4
 608354970,4
 608355000,4
 608355030,4
 608355060,4
 608355090,4
 608355120,4
 608355150,4
 608355180,4
 608355210,4
 608355240,4
 608355270,4
 608355300,4
 608355330,4
 608355360,4
 608355390,4
 608355420,4
 608355450,4
 608355480,4
 608355510,4
 608355540,4
 608355570,4
 608355600,4
 608355630,4
 608355660,4
 608355690,4
 608355720,4
 608355750,4
 608355780,4
 608355810,4
 608355840,4
 608355870,4
 608355900,4
 608355930,4
 608355960,4
 608355990,4
 608356020,4
 608356050,4
 608356080,4
 608356110,4
 608356140,4
 608356170,4
 608356200,4
 608356230,4
 608356260,4
 608356290,4
 608356320,4
 608356350,4
 608356380,2
 608356410,2
 608356440,2
 608356470,2
 608356500,2
 608356530,2
 608356560,2
 608356590,2
 608356620,2
 608356650,1
 608356680,2
 608356710,2
 608356740,2
 608356770,2
 608356800,2
 608356830,2
 608356860,2
 608356890,2
 608356920,2
 608356950,2
 608356980,2
 608357010,2
 608357040,2
 608357070,2
 608357100,2
 608357130,2
 608357160,2
 608357190,2
 608357220,2
 608357250,2
 608357280,2
 608357310,2
 608357340,2
 608357370,2
 608357400,2
 608357430,2
 608357460,2
 608357490,2
 608357520,2
 608357550,3
 608357580,3
 608357610,3
 608357640,3
 608357670,3
 608357700,3
 608357730,3
 608357760,3
 608357790,3
 608357820,3
 608357850,3
 608357880,3
 608357910,3
 608357940,3
 608357970,3
 608358000,3
 608358030,3
 608358060,3
 608358090,3
 608358120,3
 608358150,3
 608358180,3
 608358210,3
 608358240,3
 608358270,3
 608358300,3
 608358330,3
 608358360,3
 608358390,3
 608358420,3
 608358450,3
 608358480,3
 608358510,3
 608358540,3
 608358570,2
 608358600,2
 608358630,2
 608358660,2
 608358690,2
 608358720,2
 608358750,2
 608358780,2
 608358810,2
 608358840,2
 608358870,2
 608358900,2
 608358930,2
 608358960,2
 608358990,2
 608359020,2
 608359050,2
 608359080,2
 608359110,2
 608359140,2
 608359170,2
 608359200,2
 608359230,2
 608359260,2
 608359290,2
 608359320,2
 608359350,2
 608359380,2
 608359410,2
 608359440,2
 608359470,2
 608359500,2
 608359530,2
 608359560,2
 608359590,1
 608359620,1
 608359650,1
 608359680,2
 608359710,2
 608359740,2
 608359770,2
 608359800,2
 608359830,2
 608359860,2
 608359890,2
 608359920,2
 608359950,2
 608359980,4
 608360010,4
 608360040,4
 608360070,4
 608360100,4
 608360130,4
 608360160,4
 608360190,4
 608360220,4
 608360250,4
 608360280,4
 608360310,0
 608360340,1
 608360370,4
 608360400,4
 608360430,4
 608360460,4
 608360490,4
 608360520,4
 608360550,4
 608360580,4
 608360610,4
 608360640,4
 608360670,4
 608360700,4
 608360730,4
 608360760,4
 608360790,0
 608360820,1
 608360850,1
 608360880,4
 608360910,4
 608360940,4
 608360970,4
 608361000,4
 608361030,4
 608361060,4
 608361090,4
 608361120,4
 608361150,4
 608361180,4
 608361210,4
 608361240,4
 608361270,4
 608361300,4
 608361330,4
 608361360,2
 608361390,2
 608361420,2
 608361450,2
 608361480,2
 608361510,2
 608361540,2
 608361570,2
 608361600,4
 608361630,4
 608361660,4
 608361690,4
 608361720,4
 608361750,4
 608361780,4
 608361810,4
 608361840,4
 608361870,4
 608361900,4
 608361930,4
 608361960,4
 608361990,4
 608362020,4
 608362050,4
 608362080,4
 608362110,4
 608362140,4
 608362170,4
 608362200,2
 608362230,2
 608362260,2
 608362290,2
 608362320,2
 608362350,2
 608362380,2
 608362410,2
 608362440,2
 608362470,2
 608362500,2
 608362530,2
 608362560,2
 608362590,2
 608362620,2
 608362650,2
 608362680,2
 608362710,2
 608362740,2
 608362770,2
 608362800,2
 608362830,2
 608362860,2
 608362890,2
 608362920,2
 608362950,2
 608362980,2
 608363010,2
 608363040,2
 608363070,2
 608363100,2
 608363130,2
 608363160,2
 608363190,2
 608363220,2
 608363250,2
 608363280,2
 608363310,2
 608363340,2
 608363370,2
 608363400,2
 608363430,2
 608363460,2
 608363490,2
 608363520,2
 608363550,2
 608363580,3
 608363610,2
 608363640,2
 608363670,2
 608363700,2
 608363730,2
 608363760,2
 608363790,3
 608363820,2
 608363850,2
 608363880,2
 608363910,2
 608363940,2
 608363970,2
 608364000,2
 608364030,2
 608364060,2
 608364090,2
 608364120,2
 608364150,2
 608364180,2
 608364210,2
 608364240,2
 608364270,1
 608364300,2
 608364330,2
 608364360,2
 608364390,2
 608364420,2
 608364450,2
 608364480,2
 608364510,2
 608364540,2
 608364570,2
 608364600,2
 608364630,2
 608364660,2
 608364690,2
 608364720,2
 608364750,1
 608364780,0
 608364810,0
 608364840,0
 608364870,1
 608364900,1
 608364930,1
 608364960,1
 608364990,1
 608365020,1
 608365050,1
 608365080,2
 608365110,2
 608365140,2
 608365170,2
 608365200,2
 608365230,2
 608365260,2
 608365290,2
 608365320,1
 608365350,1
 608365380,1
 608365410,2
 608365440,2
 608365470,2
 608365500,2
 608365530,2
 608365560,2
 608365590,2
 608365620,2
 608365650,4
 608365680,1
 608365710,2
 608365740,4
 608365770,4
 608365800,4
 608365830,1
 608365860,1
 608365890,0
 608365920,1
 608365950,1
 608365980,2
 608366010,2
 608366040,2
 608366070,2
 608366100,2
 608366130,2
 608366160,2
 608366190,0
 608366220,1
 608366250,1
 608366280,2
 608366310,2
 608366340,2
 608366370,2
 608366400,2
 608366430,2
 608366460,2
 608366490,4
 608366520,4
 608366550,4
 608366580,4
 608366610,4
 608366640,4
 608366670,4
 608366700,4
 608366730,4
 608366760,4
 608366790,4
 608366820,4
 608366850,4
 608366880,0
 608366910,0
 608366940,1
 608366970,1
 608367000,4
 608367030,4
 608367060,4
 608367090,4
 608367120,4
 608367150,4
 608367180,4
 608367210,4
 608367240,4
 608367270,4
 608367300,4
 608367330,4
 608367360,4
 608367390,1
 608367420,1
 608367450,4
 608367480,4
 608367510,0
 608367540,0
 608367570,1
 608367600,1
 608367630,2
 608367660,2
 608367690,2
 608367720,2
 608367750,2
 608367780,2
 608367810,2
 608367840,2
 608367870,2
 608367900,0
 608367930,0
 608367960,0
 608367990,0
 608368020,0
 608368050,0
 608368080,0
 608368110,0
 608368140,0
 608368170,0
 608368200,0
 608368230,0
 608368260,0
 608368290,0
 608368320,0
 608368350,0
 608368380,0
 608368410,0
 608368440,0
 608368470,0
 608368500,0
 608368530,0
 608368560,0
 608368590,0
 608368620,0
 608368650,0
 608368680,0
 608368710,0
 608368740,0
 608368770,0
 608368800,0
 608368830,0
 608368860,0
 608368890,0
 608368920,0
 608368950,0
 608368980,0
 608369010,0
 608369040,0
 608369070,0
 608369100,0
 608369130,0
 608369160,0
 608369190,0
 608369220,0
 608369250,0
 608369280,0
 608369310,0
