Date,Berri,Maisonneuve,Notre-Dame,Parc,Pont-Jacques-Cartier,René-Lévesque,Saint-Antoine,Saint-Urbain,Totem-Laurier,Moyenne
01/01/16,32,16,1,5,13,12,6,38,68,22
02/01/16,68,25,2,16,9,16,11,67,106,36
03/01/16,78,38,0,6,6,25,10,21,59,27
04/01/16,118,80,0,46,3,49,9,4,99,46
05/01/16,183,86,2,110,3,77,12,11,106,66
06/01/16,305,116,11,126,3,120,53,29,189,106
07/01/16,425,142,13,164,3,155,60,34,54,117
08/01/16,393,138,10,131,18,157,61,75,91,120
09/01/16,139,73,0,42,3,38,22,78,114,57
10/01/16,136,46,12,55,6,42,13,80,196,66
11/01/16,393,168,12,222,17,133,56,193,312,168
12/01/16,398,152,18,206,20,139,46,125,253,151
13/01/16,324,126,1,227,9,112,31,6,118,106
14/01/16,347,134,16,142,9,106,29,1,124,101
15/01/16,367,120,18,115,20,123,41,3,66,97
16/01/16,113,42,6,29,14,32,12,2,88,38
17/01/16,111,31,3,28,8,35,6,4,63,33
18/01/16,340,111,11,99,12,105,22,1,235,104
19/01/16,271,121,19,112,8,83,10,0,138,85
20/01/16,376,139,31,139,7,110,63,119,222,134
21/01/16,450,155,42,163,14,133,66,112,293,159
22/01/16,400,155,26,185,23,147,75,117,299,159
23/01/16,146,48,11,55,11,40,13,62,160,61
24/01/16,116,41,6,57,3,43,7,67,155,55
25/01/16,441,168,35,287,11,157,61,183,394,193
26/01/16,417,174,42,257,15,153,44,166,303,175
27/01/16,460,185,41,272,27,192,76,221,393,208
28/01/16,419,181,35,263,27,170,80,269,388,204
29/01/16,421,158,35,264,25,153,62,195,368,187
30/01/16,136,56,15,76,11,52,6,106,160,69
31/01/16,180,95,24,122,24,81,21,166,203,102
01/02/16,559,225,39,384,20,200,72,270,416,243
02/02/16,607,240,73,442,18,199,103,337,450,275
03/02/16,267,112,23,166,22,94,37,61,81,96
04/02/16,613,246,69,467,27,201,81,306,384,266
05/02/16,517,222,59,406,33,172,79,302,424,246
06/02/16,157,53,9,67,27,55,10,74,93,61
07/02/16,145,56,6,66,29,44,10,85,46,55
08/02/16,413,183,41,288,20,142,55,198,156,167
09/02/16,422,148,41,276,17,139,56,156,211,163
10/02/16,409,178,42,280,24,158,56,56,105,146
11/02/16,396,132,41,172,19,137,44,26,47,113
12/02/16,298,114,32,137,22,112,44,21,76,96
13/02/16,63,39,5,27,2,9,1,1,17,19
14/02/16,103,18,11,28,2,18,3,0,10,22
15/02/16,286,117,35,148,7,102,29,0,117,94
16/02/16,129,85,5,12,3,39,20,0,44,38
17/02/16,264,143,0,182,20,30,27,0,82,84
18/02/16,362,131,21,198,3,107,56,0,123,112
19/02/16,396,126,20,200,19,124,41,34,190,128
20/02/16,89,48,2,18,3,16,9,53,29,30
21/02/16,112,57,8,50,8,49,14,94,87,54
22/02/16,382,153,24,219,18,135,65,181,159,149
23/02/16,415,173,29,239,21,145,50,231,207,168
24/02/16,255,105,8,70,7,78,12,26,58,69
25/02/16,207,101,8,76,11,47,264,34,74,92
26/02/16,212,92,8,50,18,65,13,5,26,55
27/02/16,117,44,5,11,3,3,6,15,41,28
28/02/16,94,45,2,3,13,7937,5,5,23,903
29/02/16,143,79,7,27,10,69,34,2,27,45
01/03/16,247,90,14,52,9,92,43,1,55,67
02/03/16,171,71,14,3,7,3,28,1,24,36
03/03/16,218,88,15,6,11,55,29,81,41,61
04/03/16,288,84,20,4,9,151,36,129,116,93
05/03/16,142,81,8,5,21,42,17,85,78,54
06/03/16,165,66,12,5,18,52,14,99,102,60
07/03/16,306,112,23,44,8,100,44,88,154,98
08/03/16,455,181,25,53,26,165,66,267,276,169
09/03/16,549,250,31,332,57,228,83,321,360,246
10/03/16,579,269,50,417,199,238,102,345,381,287
11/03/16,674,291,62,515,102,229,79,380,466,311
12/03/16,484,277,55,392,198,174,77,372,457,277
13/03/16,534,298,95,382,250,243,39,322,450,291
14/03/16,665,285,96,569,56,256,94,360,449,315
15/03/16,778,246,145,603,76,311,1,392,503,340
16/03/16,969,421,164,797,103,136,0,510,607,412
17/03/16,1008,377,200,815,72,260,95,496,568,433
18/03/16,596,322,100,475,187,0,58,351,421,279
19/03/16,401,172,83,291,233,15,29,283,400,212
20/03/16,396,187,105,329,359,5,21,268,366,227
21/03/16,946,408,265,738,475,42,117,490,613,455
22/03/16,1048,427,261,815,451,194,116,539,621,497
23/03/16,757,292,182,601,281,0,111,429,602,362
24/03/16,389,144,72,280,100,0,41,199,211,160
25/03/16,142,63,11,24,56,0,13,53,12,42
26/03/16,297,155,43,152,258,65,26,184,249,159
27/03/16,665,345,230,389,912,307,43,267,367,392
28/03/16,157,107,68,160,122,83,30,112,197,116
29/03/16,1237,471,324,881,505,464,123,540,754,589
30/03/16,1495,652,422,1170,885,571,179,667,931,775
