timestamp,sleep_stage
615529080,0
615529110,0
615529140,0
615529170,0
615529200,0
615529230,0
615529260,0
615529290,0
615529320,0
615529350,0
615529380,0
615529410,0
615529440,0
615529470,0
615529500,0
615529530,0
615529560,0
615529590,0
615529620,0
615529650,0
615529680,0
615529710,0
615529740,0
615529770,0
615529800,0
615529830,0
615529860,0
615529890,0
615529920,0
615529950,0
615529980,0
615530010,0
615530040,0
615530070,0
615530100,0
615530130,0
615530160,0
615530190,0
615530220,0
615530250,0
615530280,0
615530310,0
615530340,0
615530370,0
615530400,0
615530430,0
615530460,0
615530490,0
615530520,0
615530550,0
615530580,0
615530610,0
615530640,0
615530670,0
615530700,1
615530730,1
615530760,1
615530790,0
615530820,0
615530850,0
615530880,1
615530910,0
615530940,0
615530970,1
615531000,1
615531030,1
615531060,1
615531090,1
615531120,1
615531150,1
615531180,1
615531210,1
615531240,1
615531270,1
615531300,1
615531330,1
615531360,1
615531390,1
615531420,0
615531450,0
615531480,0
615531510,0
615531540,0
615531570,0
615531600,0
615531630,0
615531660,0
615531690,0
615531720,0
615531750,0
615531780,0
615531810,0
615531840,0
615531870,0
615531900,0
615531930,0
615531960,0
615531990,0
615532020,0
615532050,0
615532080,0
615532110,0
615532140,0
615532170,0
615532200,0
615532230,0
615532260,0
615532290,0
615532320,0
615532350,0
615532380,0
615532410,0
615532440,0
615532470,0
615532500,0
615532530,0
615532560,0
615532590,0
615532620,0
615532650,0
615532680,0
615532710,0
615532740,0
615532770,0
615532800,1
615532830,1
615532860,1
615532890,1
615532920,1
615532950,1
615532980,0
615533010,0
615533040,0
615533070,1
615533100,1
615533130,1
615533160,1
615533190,1
615533220,2
615533250,2
615533280,2
615533310,2
615533340,2
615533370,2
615533400,2
615533430,2
615533460,2
615533490,2
615533520,2
615533550,2
615533580,2
615533610,2
615533640,2
615533670,2
615533700,2
615533730,2
615533760,2
615533790,2
615533820,2
615533850,2
615533880,2
615533910,3
615533940,2
615533970,3
615534000,3
615534030,2
615534060,3
615534090,2
615534120,3
615534150,3
615534180,0
615534210,0
615534240,0
615534270,0
615534300,0
615534330,0
615534360,0
615534390,0
615534420,0
615534450,0
615534480,0
615534510,0
615534540,0
615534570,1
615534600,1
615534630,1
615534660,1
615534690,1
615534720,2
615534750,2
615534780,2
615534810,2
615534840,2
615534870,2
615534900,2
615534930,2
615534960,2
615534990,2
615535020,2
615535050,2
615535080,2
615535110,2
615535140,2
615535170,2
615535200,2
615535230,2
615535260,3
615535290,3
615535320,3
615535350,3
615535380,2
615535410,2
615535440,2
615535470,3
615535500,3
615535530,3
615535560,3
615535590,3
615535620,3
615535650,3
615535680,3
615535710,3
615535740,3
615535770,3
615535800,3
615535830,3
615535860,3
615535890,0
615535920,0
615535950,0
615535980,0
615536010,0
615536040,1
615536070,1
615536100,1
615536130,1
615536160,1
615536190,1
615536220,1
615536250,1
615536280,1
615536310,1
615536340,2
615536370,2
615536400,2
615536430,2
615536460,2
615536490,2
615536520,2
615536550,2
615536580,2
615536610,2
615536640,2
615536670,2
615536700,2
615536730,2
615536760,2
615536790,2
615536820,2
615536850,2
615536880,2
615536910,2
615536940,2
615536970,2
615537000,2
615537030,2
615537060,2
615537090,0
615537120,0
615537150,0
615537180,0
615537210,0
615537240,1
615537270,1
615537300,1
615537330,2
615537360,2
615537390,2
615537420,2
615537450,2
615537480,2
615537510,2
615537540,2
615537570,2
615537600,2
615537630,2
615537660,2
615537690,2
615537720,2
615537750,2
615537780,2
615537810,2
615537840,2
615537870,2
615537900,2
615537930,2
615537960,2
615537990,2
615538020,2
615538050,2
615538080,2
615538110,2
615538140,2
615538170,2
615538200,2
615538230,2
615538260,2
615538290,2
615538320,2
615538350,2
615538380,2
615538410,2
615538440,2
615538470,2
615538500,2
615538530,2
615538560,2
615538590,2
615538620,2
615538650,2
615538680,2
615538710,2
615538740,2
615538770,2
615538800,2
615538830,2
