timestamp,sleepStage
1582423980,W
1582424010,W
1582424040,W
1582424070,W
1582424100,W
1582424130,W
1582424160,W
1582424190,W
1582424220,W
1582424250,W
1582424280,W
1582424310,W
1582424340,W
1582424370,W
1582424400,W
1582424430,W
1582424460,W
1582424490,W
1582424520,W
1582424550,W
1582424580,W
1582424610,W
1582424640,W
1582424670,W
1582424700,W
1582424730,W
1582424760,W
1582424790,W
1582424820,W
1582424850,W
1582424880,W
1582424910,W
1582424940,W
1582424970,W
1582425000,W
1582425030,W
1582425060,W
1582425090,W
1582425120,W
1582425150,W
1582425180,W
1582425210,W
1582425240,N1
1582425270,N1
1582425300,N1
1582425330,N1
1582425360,N2
1582425390,N2
1582425420,N2
1582425450,N2
1582425480,W
1582425510,W
1582425540,W
1582425570,N1
1582425600,N2
1582425630,N2
1582425660,N2
1582425690,N2
1582425720,N2
1582425750,N2
1582425780,N2
1582425810,N2
1582425840,N2
1582425870,N2
1582425900,W
1582425930,W
1582425960,W
1582425990,W
1582426020,W
1582426050,W
1582426080,W
1582426110,W
1582426140,W
1582426170,W
1582426200,W
1582426230,W
1582426260,W
1582426290,W
1582426320,N1
1582426350,N1
1582426380,N1
1582426410,N1
1582426440,N2
1582426470,N2
1582426500,N2
1582426530,N2
1582426560,N2
1582426590,N2
1582426620,N2
1582426650,N2
1582426680,N2
1582426710,N2
1582426740,N2
1582426770,N2
1582426800,N2
1582426830,N2
1582426860,N3
1582426890,N3
1582426920,N3
1582426950,N3
1582426980,N3
1582427010,N3
1582427040,N3
1582427070,N3
1582427100,N3
1582427130,N2
1582427160,N2
1582427190,N2
1582427220,N2
1582427250,N2
1582427280,N2
1582427310,N2
1582427340,N2
1582427370,N2
1582427400,N3
1582427430,N3
1582427460,N3
1582427490,N3
1582427520,N3
1582427550,N3
1582427580,N3
1582427610,N3
1582427640,N3
1582427670,N3
1582427700,N3
1582427730,N3
1582427760,N3
1582427790,N3
1582427820,N3
1582427850,N3
1582427880,N3
1582427910,N3
1582427940,N3
1582427970,N3
1582428000,N3
1582428030,N3
1582428060,N3
1582428090,N3
1582428120,N3
1582428150,N3
1582428180,N3
1582428210,N3
1582428240,N3
1582428270,N3
1582428300,N3
1582428330,N3
1582428360,N3
1582428390,N3
1582428420,N3
1582428450,N3
1582428480,N3
1582428510,N3
1582428540,N3
1582428570,N3
1582428600,N3
1582428630,N3
1582428660,N3
1582428690,N3
1582428720,N3
1582428750,N3
1582428780,N3
1582428810,N3
1582428840,N3
1582428870,N3
1582428900,N3
1582428930,N3
1582428960,N3
1582428990,N3
1582429020,N3
1582429050,N3
1582429080,N3
1582429110,N3
1582429140,N3
1582429170,N3
1582429200,N3
1582429230,N3
1582429260,N3
1582429290,N3
1582429320,N3
1582429350,N3
1582429380,N3
1582429410,N3
1582429440,N3
1582429470,N3
1582429500,N3
1582429530,N3
1582429560,N3
1582429590,N3
1582429620,N3
1582429650,N3
1582429680,N3
1582429710,N3
1582429740,N3
1582429770,N2
1582429800,N2
1582429830,N2
1582429860,N2
1582429890,N2
1582429920,N2
1582429950,REM
1582429980,REM
1582430010,REM
1582430040,REM
1582430070,REM
1582430100,REM
1582430130,N2
1582430160,N2
1582430190,N2
1582430220,N2
1582430250,N2
1582430280,N2
1582430310,N2
1582430340,N2
1582430370,N2
1582430400,N2
1582430430,N2
1582430460,N2
1582430490,N2
1582430520,N2
1582430550,N2
1582430580,N2
1582430610,N2
1582430640,N2
1582430670,N2
1582430700,N2
1582430730,N2
1582430760,N2
1582430790,N2
1582430820,N2
1582430850,N2
1582430880,N2
1582430910,N2
1582430940,N2
1582430970,N2
1582431000,N2
1582431030,N2
1582431060,N2
1582431090,N2
1582431120,N3
1582431150,N3
1582431180,N3
1582431210,N3
1582431240,N3
1582431270,N3
1582431300,N3
1582431330,N3
1582431360,N3
1582431390,N3
1582431420,N3
1582431450,N3
1582431480,N3
1582431510,N3
1582431540,N3
1582431570,N3
1582431600,N3
1582431630,N3
1582431660,N3
1582431690,N3
1582431720,N3
1582431750,N3
1582431780,N3
1582431810,N3
1582431840,N3
1582431870,N3
1582431900,N2
1582431930,N2
1582431960,N2
1582431990,N2
1582432020,N2
1582432050,N2
1582432080,N2
1582432110,N2
1582432140,N2
1582432170,N2
1582432200,N2
1582432230,N2
1582432260,N2
1582432290,N2
1582432320,N2
1582432350,N2
1582432380,N2
1582432410,N2
1582432440,N2
1582432470,N2
1582432500,N2
1582432530,N2
1582432560,N2
1582432590,N2
1582432620,N3
1582432650,N3
1582432680,N3
1582432710,N3
1582432740,N3
1582432770,N3
1582432800,N3
1582432830,N3
1582432860,N3
1582432890,N3
1582432920,N3
1582432950,N3
1582432980,N3
1582433010,N3
1582433040,N3
1582433070,N3
1582433100,N3
1582433130,N3
1582433160,N3
1582433190,N3
1582433220,N3
1582433250,N3
1582433280,N3
1582433310,N3
1582433340,N3
1582433370,N3
1582433400,N3
1582433430,N3
1582433460,N3
1582433490,N3
1582433520,N3
1582433550,N3
1582433580,N3
1582433610,N3
1582433640,N3
1582433670,N3
1582433700,N3
1582433730,N3
1582433760,N2
1582433790,N2
1582433820,N2
1582433850,N2
1582433880,N2
1582433910,N2
1582433940,N2
1582433970,N2
1582434000,N2
1582434030,N2
1582434060,N2
1582434090,N2
1582434120,N2
1582434150,N2
1582434180,N2
1582434210,N2
1582434240,N2
1582434270,N2
1582434300,N2
1582434330,N2
1582434360,N2
1582434390,N2
1582434420,N2
1582434450,N2
1582434480,N2
1582434510,N2
1582434540,W
1582434570,W
1582434600,W
1582434630,W
1582434660,W
1582434690,W
1582434720,W
1582434750,W
1582434780,W
1582434810,W
1582434840,W
1582434870,W
1582434900,W
1582434930,W
1582434960,W
1582434990,N1
1582435020,N2
1582435050,N2
1582435080,N2
1582435110,N2
1582435140,N2
1582435170,N2
1582435200,N2
1582435230,N2
1582435260,N2
1582435290,N2
1582435320,N2
1582435350,N2
1582435380,N2
1582435410,N2
1582435440,N2
1582435470,N2
1582435500,N2
1582435530,N2
1582435560,N2
1582435590,N2
1582435620,N2
1582435650,N2
1582435680,N2
1582435710,N2
1582435740,N2
1582435770,N2
1582435800,N2
1582435830,N2
1582435860,N2
1582435890,N2
1582435920,N2
1582435950,N2
1582435980,N2
1582436010,N2
1582436040,N2
1582436070,N2
1582436100,N2
1582436130,N2
1582436160,N2
1582436190,N2
1582436220,N2
1582436250,N2
1582436280,N2
1582436310,N2
1582436340,N2
1582436370,N2
1582436400,N2
1582436430,N2
1582436460,N2
1582436490,N2
1582436520,N2
1582436550,N2
1582436580,N3
1582436610,N3
1582436640,N3
1582436670,N3
1582436700,N3
1582436730,N3
1582436760,N3
1582436790,N3
1582436820,N3
1582436850,N3
1582436880,N3
1582436910,N3
1582436940,N3
1582436970,N3
1582437000,N3
1582437030,N2
1582437060,N2
1582437090,N2
1582437120,N2
1582437150,N2
1582437180,N2
1582437210,N2
1582437240,N2
1582437270,N2
1582437300,N2
1582437330,N2
1582437360,N2
1582437390,N3
1582437420,N3
1582437450,N3
1582437480,N3
1582437510,N3
1582437540,N3
1582437570,N3
1582437600,N3
1582437630,N3
1582437660,N2
1582437690,N2
1582437720,N2
1582437750,N2
1582437780,N2
